Node,Local Value,Trade Power,Collecting Power,Transfer Power,Power Modifier,Collecting,Merchant,Our Power,Trade Efficiency,Steering Bonus
Aleppo,5.22,254.4,0.45,0.55,0.136,FALSE,TRUE,25.1,0.17,0.121
Alexandria,8.11,341.7,0.58,0.42,0.136,FALSE,TRUE,25.1,0.17,0.121
Amazonas,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Astrakhan,5.75,320.3,0.55,0.45,0.086,FALSE,FALSE,0,0.07,0.121
Australia,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Baltic Sea,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Basra,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Beijing,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Bengal,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Bordeaux,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Brazil,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Burma,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
California,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Canton,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Cape,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Caribbean,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Champagne,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Chengdu,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Chesapeake Bay,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Congo,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Constantinople,5.95,272.2,0.87,0.13,0.286,TRUE,FALSE,143.3,0.07,0.121
Coromandel,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Crimea,4.25,412.6,0.49,0.51,0.086,FALSE,FALSE,21.8,0.07,0.121
Cuiaba,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Deccan,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Doab,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
English Channel,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Ethiopia,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Genoa,9.23,344.7,1,0,0.086,FALSE,FALSE,0,0.07,0.121
Girin,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Great Lakes,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Gujarat,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Gulf of Aden,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Gulf of St. Lawrence,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Hangzhou,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Hormuz,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Hudson Bay,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Ivory Coast,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Katsina,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Kazan,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Kiev,4.52,410.6,0.36,0.64,0.086,FALSE,FALSE,0,0.07,0.121
Krakow,3.71,639.3,0.4,0.6,0.086,FALSE,FALSE,0,0.07,0.121
Lahore,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Lhasa,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Lima,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Lübeck,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Malacca,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Mexico,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Mississippi River,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Moluccas,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Nippon,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
North Sea,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Novgorod,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Ohio,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Panama,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Patagonia,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Persia,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Pest,3.31,393.4,0.49,0.51,0.086,FALSE,FALSE,0,0.07,0.121
Philippines,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Polynesian Triangle,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Ragusa,4.82,393.9,0.39,0.61,0.086,FALSE,FALSE,31,0.07,0.121
Rheinland,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Rio de la Plata,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Rio Grande,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Safi,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Samarkand,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Saxony,5.36,535.7,0.6,0.4,0.086,FALSE,FALSE,0,0.07,0.121
Sevilla,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Siam,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Siberia,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Timbuktu,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Tunis,2.56,243.2,0.49,0.51,0.086,FALSE,FALSE,0,0.07,0.121
Valencia,3.91,158.3,0.59,0.41,0.086,FALSE,FALSE,0,0.07,0.121
Venice,6.18,252.5,1,0,0.086,FALSE,FALSE,0,0.07,0.121
White Sea,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Wien,6.24,696.7,0.56,0.44,0.086,FALSE,FALSE,0,0.07,0.121
Xi'an,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Yumen,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Zambezi,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
Zanzibar,0,0,0,0,0.086,FALSE,FALSE,0,0.07,0.121
